resume_id,resume_text
resume_001,计算机专业，熟悉Python、Java，有2个项目经验（图书管理系统、学生成绩分析），参加过蓝桥杯竞赛获省三，有Python开发实习经历，会使用MySQL、Redis，自学过机器学习基础，能独立完成需求开发，团队协作能力强，能承受项目deadlines
resume_002,软件工程专业，掌握JavaScript、Vue、React，前端开发经验3年，做过企业官网、电商小程序，熟悉Webpack、Vite，了解后端SpringBoot框架，有字节跳动实习经历，参与过跨部门项目，沟通能力良好，能快速学习新技术
resume_003,电子信息工程专业，精通STM32、PLC编程，熟悉嵌入式开发，做过智能小车、环境监测设备，会使用Altium Designer画PCB，参加过全国电子设计竞赛，有自动化公司实习经历，能独立完成硬件调试，抗压能力强
resume_004,数据科学专业，熟练使用Python、SQL，掌握Pandas、Numpy、Sklearn，做过用户行为分析、推荐系统项目，熟悉机器学习算法，有数据分析师实习经历，会使用Tableau可视化，能撰写数据分析报告，团队合作经验丰富
resume_005,机械设计专业，精通SolidWorks、UG，会CAD制图，做过机械结构设计、夹具设计项目，参加过机械创新设计大赛，有重工企业实习经历，了解液压传动、气动控制，能独立完成设计方案，细心严谨
resume_006,市场营销专业，熟悉电商运营、新媒体运营，做过淘宝店铺运营、抖音短视频推广，有618、双11大促经验，会使用Excel做数据透视表，有互联网公司实习经历，沟通能力强，能制定营销方案
resume_007,会计学专业，持有初级会计证、英语六级，熟悉用友、金蝶软件，做过财务报表编制、纳税申报，有会计师事务所实习经历，会使用VLOOKUP函数，了解税法法规，细心负责，能承受月末结账压力
resume_008,土木工程专业，掌握BIM、Revit、PKPM，做过建筑结构设计、施工方案编制，参加过结构设计竞赛，有建筑公司实习经历，了解混凝土、钢结构施工，能现场协调施工，抗压能力强
resume_009,人工智能专业，熟练使用PyTorch、TensorFlow，掌握深度学习、计算机视觉，做过图像识别、NLP文本分类项目，参加过AI创新大赛，有AI公司实习经历，会使用Git版本控制，能快速迭代模型
resume_010,英语专业，持有专八证书、雅思7.5，做过英语翻译、外贸跟单，有外贸公司实习经历，熟悉跨境电商流程，沟通能力强，能独立对接国外客户，了解国际贸易法规
resume_011,自动化专业，精通PLC、变频器，熟悉工业自动化控制，做过生产线自动化改造项目，有自动化公司实习经历，会使用WinCC组态，了解PID控制，能独立完成设备调试，团队协作能力强
resume_012,视觉设计专业，精通PS、Figma、Sketch，做过品牌设计、UI界面设计，有设计公司实习经历，熟悉平面设计、交互设计，能独立完成设计方案，审美能力强，能快速响应需求变更
resume_013,通信工程专业，掌握5G技术、信号处理，做过通信设备测试、网络优化项目，参加过通信原理竞赛，有运营商实习经历，熟悉TCP/IP协议，能独立排查网络故障，学习能力强
resume_014,人力资源专业，持有人力资源管理师证书，做过招聘、薪酬绩效核算，有互联网公司HR实习经历，熟悉劳动法，会使用E-HR系统，沟通协调能力强，能组织员工培训
resume_015,环境工程专业，掌握环评、污水治理技术，做过工业园区环评报告，参加过环保竞赛，有环保公司实习经历，熟悉环境监测设备，能独立完成采样分析，责任心强
resume_016,药学专业，持有药师资格证，熟悉药品研发、质量检测，做过药物制剂实验，有药企实习经历，了解GMP规范，会使用HPLC检测，细心严谨，能承受实验周期压力
